,Site,Traffic,%,"Page views",Duration,Requests,%
1,googlevideo.com,725461478,75.3,0,00:34:23,38,0.4
2,ggpht.com,40455720,4.2,0,00:34:03,35,0.4
3,google.com,34895368,3.6,0,03:11:05,189,2.2
4,microsoft.com,22934496,2.4,0,07:36:19,736,8.5
5,gvt1.com,15737849,1.6,0,21:23:32,3191,36.7
6,kennedyspacecenter.com,14570739,1.5,0,00:06:34,21,0.2
7,googleusercontent.com,14254758,1.5,0,00:18:51,21,0.2
8,windows.com,12510292,1.3,0,33:45:28,1802,20.7
9,gstatic.com,9196605,1.0,0,03:16:13,167,1.9
10,ytimg.com,9069366,0.9,0,00:36:10,39,0.4
11,cloudfront.net,9044863,0.9,0,00:11:57,15,0.2
12,googleapis.com,7031332,0.7,0,06:03:29,974,11.2
13,rackcdn.com,4912747,0.5,0,00:01:04,306,3.5
14,coconutsonthebeach.com,4551317,0.5,0,00:01:00,6,0.1
15,discovermass.com,3927904,0.4,2,00:06:24,86,1.0
16,windowsupdate.com,3805761,0.4,0,00:22:43,96,1.1
17,bing.com,3310593,0.3,0,00:13:38,19,0.2
18,ostrovok.ru,3152067,0.3,0,00:07:27,11,0.1
19,parastorage.com,3081048,0.3,0,00:02:00,8,0.1
20,youtube.com,2315259,0.2,0,00:35:41,33,0.4
21,wayin.com,1862341,0.2,0,00:04:48,6,0.1
22,live.com,1654157,0.2,0,01:55:46,116,1.3
23,office.net,1110367,0.1,0,00:02:02,35,0.4
24,greatschools.org,1078230,0.1,0,00:05:51,34,0.4
25,worldota.net,1039654,0.1,0,00:02:06,6,0.1
26,doubleclick.net,1011866,0.1,0,01:11:36,78,0.9
27,adobe.com,1007504,0.1,0,00:03:00,4,0.0
28,shopmeijer.com,996775,0.1,0,00:11:40,8,0.1
29,trvl-media.com,903753,0.1,0,00:02:00,2,0.0
30,shipt.com,833506,0.1,0,00:09:53,21,0.2
31,petoskeysfx.org,610690,0.1,2,00:05:33,13,0.1
32,googlesyndication.com,570798,0.1,0,00:12:13,20,0.2
33,facebook.net,447833,0.0,0,00:09:43,9,0.1
34,wixstatic.com,288142,0.0,0,00:01:00,6,0.1
35,disquscdn.com,280904,0.0,0,00:01:13,4,0.0
36,adnxs.com,250737,0.0,0,00:11:39,22,0.3
37,yandex.ru,245919,0.0,0,00:01:02,3,0.0
38,optimizely.com,216703,0.0,0,00:03:00,3,0.0
39,windows.net,209353,0.0,0,00:11:34,11,0.1
40,jquery.com,200890,0.0,0,00:02:29,6,0.1
41,fontawesome.com,197917,0.0,0,00:02:00,2,0.0
42,bstatic.com,191790,0.0,0,00:03:36,6,0.1
43,segment.com,187605,0.0,0,00:01:00,1,0.0
44,cloudflare.com,185929,0.0,0,00:03:00,4,0.0
45,segment.io,178285,0.0,0,00:01:00,1,0.0
46,serving-sys.com,155581,0.0,0,00:17:34,19,0.2
47,google-analytics.com,141066,0.0,0,00:31:45,49,0.6
48,googletagmanager.com,129292,0.0,0,00:03:00,3,0.0
49,wixsite.com,123974,0.0,0,00:01:00,2,0.0
50,powerschool.com,114223,0.0,0,00:01:03,4,0.0
51,hotjar.com,113712,0.0,0,00:04:00,4,0.0
52,ibreviary.org,111284,0.0,0,00:01:00,1,0.0
53,mathtag.com,97234,0.0,0,00:05:00,6,0.1
54,qualtrics.com,96269,0.0,0,00:04:23,2,0.0
55,stripe.com,90232,0.0,0,00:02:51,3,0.0
56,adsrvr.org,86959,0.0,0,00:14:01,9,0.1
57,disqus.com,81970,0.0,0,00:05:00,6,0.1
58,bootstrapcdn.com,78319,0.0,0,00:02:14,3,0.0
59,getambassador.com,73728,0.0,0,00:02:00,2,0.0
60,meaaction.org,73262,0.0,0,00:04:00,18,0.2
61,engagesciences.com,73179,0.0,0,00:01:00,2,0.0
62,rlcdn.com,72951,0.0,0,00:04:00,4,0.0
63,live.net,65458,0.0,0,00:09:00,9,0.1
64,staticontent.com,64461,0.0,0,00:01:00,1,0.0
65,facebook.com,59470,0.0,0,00:08:24,6,0.1
66,netmng.com,59149,0.0,0,00:02:07,3,0.0
67,jsdelivr.net,53482,0.0,0,00:03:00,3,0.0
68,quantserve.com,53367,0.0,0,00:12:22,9,0.1
69,amplitude.com,44647,0.0,0,00:02:00,2,0.0
70,xg4ken.com,43533,0.0,0,00:04:39,11,0.1
71,rubiconproject.com,40497,0.0,0,00:02:00,2,0.0
72,cdnwidget.com,40496,0.0,0,00:02:00,2,0.0
73,office.com,40477,0.0,0,00:03:03,4,0.0
74,hotelbeds.com,39218,0.0,0,00:03:02,4,0.0
75,abcsignup.com,39211,0.0,0,00:01:00,2,0.0
76,yieldoptimizer.com,38836,0.0,0,00:04:00,4,0.0
77,microsoftonline.com,36757,0.0,0,00:02:58,6,0.1
78,crazyegg.com,35198,0.0,0,00:02:00,2,0.0
79,vk.com,34875,0.0,0,00:01:05,2,0.0
80,addthis.com,34115,0.0,0,00:05:00,6,0.1
81,wix.com,33641,0.0,0,00:03:43,6,0.1
82,healthcare4ppl.com,32619,0.0,0,00:01:09,2,0.0
83,accesso.com,30859,0.0,0,00:07:03,7,0.1
84,mediawallahscript.com,30220,0.0,0,00:03:00,3,0.0
85,googleadservices.com,29996,0.0,0,00:02:00,2,0.0
86,mail.ru,29759,0.0,0,00:02:00,7,0.1
87,advertising.com,28319,0.0,0,00:03:02,3,0.0
88,apxprogrammatic.com,27454,0.0,0,00:01:51,2,0.0
89,bluekai.com,27111,0.0,0,00:04:00,5,0.1
90,casalemedia.com,26969,0.0,0,00:02:00,2,0.0
91,pubmatic.com,26161,0.0,0,00:02:00,2,0.0
92,siftscience.com,26117,0.0,0,00:01:00,1,0.0
93,mapbox.com,25410,0.0,0,00:01:00,2,0.0
94,exct.net,25016,0.0,0,00:04:01,11,0.1
95,sojern.com,24301,0.0,0,00:02:00,2,0.0
96,digicert.com,23079,0.0,0,00:30:36,49,0.6
97,indicative.com,22924,0.0,0,00:02:00,2,0.0
98,pippio.com,22872,0.0,0,00:02:00,2,0.0
99,crsspxl.com,21853,0.0,0,00:01:00,5,0.1
100,bttrack.com,21583,0.0,0,00:03:11,2,0.0
101,clicktripz.com,21403,0.0,0,00:02:03,3,0.0
102,yahoo.com,21315,0.0,0,00:03:00,3,0.0
103,lijit.com,20272,0.0,0,00:02:00,2,0.0
104,wevideo.com,19911,0.0,0,00:01:00,1,0.0
105,impactradius-event.com,19808,0.0,0,00:01:00,1,0.0
106,demdex.net,19511,0.0,0,00:03:00,3,0.0
107,fuel451.com,18694,0.0,0,00:03:00,3,0.0
108,dotomi.com,18024,0.0,0,00:02:14,4,0.0
109,googletagservices.com,17928,0.0,0,00:01:00,1,0.0
110,bidswitch.net,16746,0.0,0,00:02:00,2,0.0
111,cpx.to,16130,0.0,0,00:01:00,2,0.0
112,tvsquared.com,16086,0.0,0,00:01:00,1,0.0
113,liadm.com,15818,0.0,0,00:02:00,2,0.0
114,icptrack.com,15694,0.0,0,00:02:00,4,0.0
115,cdnbasket.net,15444,0.0,0,00:03:00,3,0.0
116,exelator.com,15112,0.0,0,00:02:00,2,0.0
117,criteo.com,14010,0.0,0,00:03:00,3,0.0
118,crwdcntrl.net,13885,0.0,0,00:02:00,2,0.0
119,krxd.net,13832,0.0,0,00:02:00,2,0.0
120,apxlv.com,13812,0.0,0,00:01:00,2,0.0
121,fastly.net,13247,0.0,0,00:02:16,4,0.0
122,eyeota.net,13239,0.0,0,00:02:00,2,0.0
123,iplayerhd.com,12844,0.0,0,00:01:00,2,0.0
124,turn.com,12679,0.0,0,00:02:00,2,0.0
125,criteo.net,12530,0.0,0,00:01:00,1,0.0
126,semasio.net,12444,0.0,0,00:02:00,2,0.0
127,tapad.com,11855,0.0,0,00:02:00,2,0.0
128,fuelx.com,11733,0.0,0,00:01:00,1,0.0
129,viglink.com,10653,0.0,0,00:01:12,2,0.0
130,oaspapps.com,10410,0.0,0,00:01:00,1,0.0
131,unpkg.com,10109,0.0,0,00:01:00,1,0.0
132,alexametrics.com,9794,0.0,0,00:01:00,1,0.0
133,rezync.com,9402,0.0,0,00:01:00,1,0.0
134,weborama.com,9247,0.0,0,00:01:00,1,0.0
135,weborama.fr,9098,0.0,0,00:02:00,2,0.0
136,hometogo.com,9064,0.0,0,00:01:00,1,0.0
137,openx.net,9051,0.0,0,00:02:00,2,0.0
138,reson8.com,8928,0.0,0,00:01:00,1,0.0
139,ispot.tv,8881,0.0,0,00:01:00,1,0.0
140,adsymptotic.com,8832,0.0,0,00:02:00,2,0.0
141,polyfill.io,8659,0.0,0,00:01:00,1,0.0
142,godaddy.com,8634,0.0,0,00:02:00,5,0.1
143,tripadvisor.com,8365,0.0,0,00:01:00,1,0.0
144,quantcount.com,8301,0.0,0,00:03:49,3,0.0
145,traversedlp.com,8275,0.0,0,00:01:00,1,0.0
146,qubit.com,8244,0.0,0,00:01:00,1,0.0
147,insightexpressai.com,8201,0.0,0,00:01:00,1,0.0
148,agkn.com,8163,0.0,0,00:01:00,1,0.0
149,connexity.net,7793,0.0,0,00:01:00,1,0.0
150,bizrate.com,7615,0.0,0,00:01:00,1,0.0
151,360yield.com,7604,0.0,0,00:01:00,1,0.0
152,thrtle.com,7590,0.0,0,00:01:00,1,0.0
153,powerlinks.com,7512,0.0,0,00:01:00,1,0.0
154,colossusssp.com,7493,0.0,0,00:01:00,1,0.0
155,adaraanalytics.com,7420,0.0,0,00:01:00,1,0.0
156,mbsy.co,7420,0.0,0,00:01:00,1,0.0
157,rkdms.com,7418,0.0,0,00:01:00,1,0.0
158,pusherapp.com,7344,0.0,0,00:01:00,1,0.0
159,narrative.io,7282,0.0,0,00:01:00,1,0.0
160,sharethis.com,7191,0.0,0,00:01:00,1,0.0
161,gumgum.com,7123,0.0,0,00:01:00,1,0.0
162,omnitagjs.com,7031,0.0,0,00:01:00,1,0.0
163,adform.net,6700,0.0,0,00:01:00,1,0.0
164,livetex.ru,6682,0.0,0,00:01:00,1,0.0
165,amazonaws.com,6176,0.0,0,00:02:39,3,0.0
166,intentmedia.net,6051,0.0,0,00:01:00,1,0.0
167,yieldlab.net,5783,0.0,0,00:01:00,1,0.0
168,digitru.st,5572,0.0,0,00:01:00,1,0.0
169,navdmp.com,5502,0.0,0,00:01:00,1,0.0
170,hexagon-analytics.com,5370,0.0,0,00:01:00,1,0.0
171,acstat.com,5368,0.0,0,00:01:00,1,0.0
172,ib-ibi.com,5363,0.0,0,00:01:00,1,0.0
173,mookie1.com,5337,0.0,0,00:01:00,1,0.0
174,atdmt.com,5325,0.0,0,00:01:00,1,0.0
175,gssprt.jp,5284,0.0,0,00:01:00,1,0.0
176,linksynergy.com,5245,0.0,0,00:01:00,1,0.0
177,nexac.com,5110,0.0,0,00:01:00,1,0.0
178,aver.com,4645,0.0,5,00:05:03,15,0.2
179,ngenix.net,4360,0.0,0,00:01:00,1,0.0
180,msocsp.com,3662,0.0,0,00:01:12,2,0.0
181,amazontrust.com,3445,0.0,0,00:03:00,3,0.0
182,windowsmedia.com,2940,0.0,0,00:01:00,2,0.0
183,ss2.us,1744,0.0,0,00:01:00,1,0.0
184,videolan.org,1020,0.0,0,00:02:02,4,0.0
185,cogocast.net,1015,0.0,0,00:02:01,7,0.1
186,pki.goog,931,0.0,0,00:01:00,2,0.0
